PlotID,YardID,PlotArea,YardArea,PlotDirection,IsInhabited
1,1,23,54,East,0
2,2,15,42,East,0
3,3,48,903,North,1
4,3,65,903,North,0
5,3,68,903,South,1
6,3,30,903,West,0
7,3,113,903,South,1
8,3,63,903,West,0
9,3,100,903,East,1
10,4,19,167,South,0
11,4,28,167,South,0
12,4,14,167,South,0
13,4,32,167,West,0
14,5,33,221,South,1
15,5,33,221,West,0
16,5,36,221,West,0
17,5,14,221,North,0
18,6,40,495,South,1
19,6,18,495,North,0
20,6,28,495,South,0
21,6,29,495,North,0
22,6,14,495,West,0
23,6,17,495,East,0
24,6,64,495,North,0
25,7,20,309,West,0
26,7,57,309,East,0
27,7,47,309,North,0
28,7,34,309,West,0
29,8,27,170,East,1
30,8,42,170,South,1
31,8,53,170,South,1
32,9,120,284,East,0
33,9,64,284,North,0
34,10,38,235,South,1
35,10,42,235,North,0
36,10,17,235,South,0
37,10,22,235,North,0
38,11,74,1153,South,1
39,11,19,1153,North,1
40,11,111,1153,East,1
41,11,77,1153,West,1
42,11,91,1153,East,0
43,11,18,1153,West,0
44,11,47,1153,South,0
45,11,22,1153,South,0
46,11,75,1153,South,0
47,11,25,1153,South,0
48,11,11,1153,North,0
49,12,122,542,South,1
50,12,131,542,North,1
51,12,80,542,South,0
52,12,157,542,North,0
53,13,45,435,South,0
54,13,19,435,South,0
55,13,20,435,South,0
56,13,86,435,North,0
57,14,59,166,West,0
58,14,26,166,North,0
59,15,20,554,South,0
60,15,19,554,South,0
61,15,56,554,East,0
62,15,22,554,North,0
63,15,86,554,East,0
64,15,79,554,South,0
65,15,78,554,South,0
66,16,120,892,West,0
67,16,20,892,South,0
68,16,70,892,North,0
69,16,68,892,West,0
70,16,138,892,South,0
71,16,31,892,East,0
72,16,77,892,East,0
73,16,116,892,West,0
74,17,68,441,West,1
75,17,24,441,West,1
76,17,68,441,North,1
77,17,41,441,East,1
78,17,86,441,East,0
79,17,86,441,North,0
80,18,71,378,South,1
81,18,71,378,South,1
82,18,45,378,South,0
83,18,23,378,South,0
84,18,12,378,South,0
85,19,20,349,East,0
86,19,43,349,West,0
87,19,13,349,South,0
88,19,47,349,West,0
89,19,56,349,South,0
90,19,43,349,West,0
91,20,16,181,East,1
92,20,13,181,West,1
93,20,30,181,East,1
94,20,11,181,West,0
95,20,30,181,East,0
96,21,64,336,North,0
97,21,18,336,North,0
98,21,33,336,North,0
99,21,61,336,East,0
100,21,39,336,West,0
101,21,55,336,West,0
102,22,63,97,East,0
103,23,12,84,West,0
104,23,27,84,West,0
105,23,13,84,West,0
106,24,45,90,East,1
107,24,16,90,South,1
108,25,32,124,West,0
109,25,16,124,South,0
110,26,54,130,West,1
111,26,19,130,East,1
112,27,114,920,North,0
113,27,110,920,North,0
114,27,106,920,North,0
115,27,60,920,South,0
116,27,73,920,North,0
117,27,117,920,North,0
118,27,67,920,South,0
119,27,24,920,South,0
120,28,36,72,North,1
121,28,32,72,South,1
122,29,71,1482,East,0
123,29,125,1482,South,0
124,29,71,1482,South,0
125,29,105,1482,West,0
126,29,22,1482,South,0
127,29,65,1482,East,0
128,29,20,1482,East,0
129,29,88,1482,North,0
130,29,46,1482,North,0
131,29,15,1482,South,0
132,30,25,288,South,1
133,30,24,288,West,0
134,30,39,288,West,0
135,30,35,288,West,0
136,30,49,288,South,0
137,30,19,288,South,0
138,31,41,346,East,1
139,31,40,346,West,1
140,31,24,346,South,1
141,31,23,346,North,1
142,31,33,346,West,1
143,31,38,346,South,0
144,32,43,105,South,0
145,32,32,105,South,0
146,33,21,92,South,0
147,33,24,92,North,0
148,33,24,92,East,0
149,34,27,110,South,0
150,34,22,110,South,0
151,34,18,110,South,0
152,34,15,110,West,0
153,35,21,85,South,0
154,35,20,85,West,0
155,35,20,85,West,0
156,35,11,85,South,0
157,36,12,87,South,0
158,36,11,87,South,0
159,36,10,87,West,0
160,36,10,87,North,0
161,37,23,69,West,0
162,37,14,69,South,0
163,38,23,88,North,0
164,38,10,88,North,0
165,39,56,374,West,0
166,39,49,374,West,0
167,39,21,374,East,0
168,39,24,374,South,0
169,39,53,374,East,0
170,40,49,102,South,0
171,41,44,448,North,1
172,41,19,448,East,1
173,41,52,448,North,0
174,41,56,448,North,0
175,41,50,448,East,0
176,41,30,448,West,0
177,41,40,448,West,0
178,41,40,448,West,0
179,42,13,228,South,1
180,42,25,228,South,1
181,42,21,228,East,1
182,42,26,228,West,1
183,42,26,228,North,0
184,42,28,228,East,0
185,43,15,249,North,0
186,43,29,249,West,0
187,43,16,249,West,0
188,43,40,249,West,0
189,43,22,249,East,0
190,43,15,249,South,0
191,44,28,456,North,1
192,44,16,456,South,1
193,44,56,456,South,1
194,44,56,456,South,1
195,44,39,456,South,1
196,44,41,456,North,1
197,44,64,456,South,1
198,44,26,456,East,1
199,44,47,456,West,0
200,45,57,227,South,1
201,45,51,227,West,0
202,45,14,227,West,0
203,46,44,259,South,1
204,46,36,259,East,1
205,46,23,259,East,0
206,47,17,263,West,1
207,47,61,263,South,1
208,47,42,263,North,0
209,47,55,263,South,0
210,48,38,392,East,1
211,48,25,392,South,1
212,48,98,392,West,0
213,48,98,392,South,0
214,48,23,392,North,0
215,49,48,386,East,1
216,49,38,386,West,0
217,49,16,386,South,0
218,49,26,386,North,0
219,49,88,386,East,0
220,50,53,239,North,1
221,50,21,239,East,0
222,50,54,239,East,0
223,50,39,239,North,0
224,51,18,435,West,1
225,51,24,435,West,1
226,51,41,435,East,0
227,51,48,435,South,0
228,51,13,435,West,0
229,51,38,435,East,0
230,51,35,435,West,0
231,51,36,435,East,0
232,51,17,435,West,0
233,51,27,435,East,0
234,51,25,435,West,0
235,52,26,388,South,1
236,52,57,388,South,0
237,52,74,388,South,0
238,53,35,170,North,1
239,54,119,3417,South,1
240,54,60,3417,South,1
241,54,153,3417,West,1
242,54,86,3417,North,1
243,54,86,3417,North,1
244,54,197,3417,South,1
245,54,53,3417,East,1
246,54,53,3417,South,0
247,54,51,3417,East,0
248,54,10,3417,North,0
249,54,83,3417,East,0
250,54,16,3417,South,0
251,54,164,3417,South,0
252,54,177,3417,West,0
253,54,54,3417,West,0
254,54,98,3417,West,0
255,54,17,3417,North,0
256,54,63,3417,East,0
257,55,27,142,South,0
258,55,23,142,North,0
259,55,15,142,West,0
260,56,17,317,West,0
261,56,60,317,North,0
262,56,11,317,East,0
263,56,72,317,East,0
264,57,114,297,East,0
265,57,96,297,West,0
266,58,34,228,South,1
267,58,21,228,North,1
268,58,15,228,South,1
269,58,36,228,North,0
270,59,61,198,East,0
271,59,43,198,North,0
272,60,46,273,East,0
273,60,36,273,South,0
274,60,19,273,South,0
275,60,19,273,South,0
276,61,22,184,North,0
277,61,30,184,South,0
278,61,44,184,East,0
279,61,28,184,East,0
280,62,29,335,West,0
281,62,38,335,North,0
282,62,12,335,North,0
283,62,22,335,West,0
284,62,40,335,West,0
285,62,10,335,South,0
286,63,29,321,East,0
287,63,25,321,West,0
288,63,11,321,East,0
289,63,21,321,West,0
290,63,15,321,South,0
291,63,21,321,West,0
292,63,17,321,North,0
293,63,30,321,South,0
294,63,15,321,South,0
295,63,22,321,North,0
296,64,38,114,North,1
297,64,38,114,North,1
298,64,10,114,East,0
299,65,19,117,West,0
300,65,32,117,North,0
301,65,24,117,East,0
302,66,13,86,East,0
303,66,18,86,South,0
304,67,10,57,East,0
305,68,27,312,East,0
306,68,46,312,West,0
307,68,57,312,East,0
308,68,48,312,North,0
309,68,40,312,East,0
310,69,16,168,South,0
311,69,15,168,North,0
312,69,23,168,East,0
313,69,42,168,East,0
314,70,28,200,South,0
315,70,37,200,East,0
316,71,29,83,South,0
317,72,12,331,South,1
318,72,11,331,North,1
319,72,14,331,South,1
320,72,44,331,North,1
321,72,7,331,North,1
322,72,7,331,South,0
323,72,30,331,West,0
324,72,27,331,East,0
325,72,36,331,East,0
326,73,40,90,East,0
327,74,19,134,North,1
328,74,40,134,East,0
329,74,36,134,North,0
330,75,23,95,West,0
331,75,31,95,West,0
332,75,14,95,West,0
333,76,47,291,East,0
334,76,41,291,West,0
335,76,17,291,North,0
336,76,27,291,East,0
337,76,40,291,West,0
338,76,33,291,West,0
339,77,52,320,North,0
340,77,70,320,West,0
341,77,32,320,South,0
342,77,76,320,North,0
343,78,40,649,West,0
344,78,43,649,South,0
345,78,9,649,West,0
346,78,20,649,West,0
347,78,32,649,East,0
348,78,85,649,North,0
349,79,11,154,North,1
350,79,21,154,South,1
351,79,7,154,North,1
352,79,29,154,West,1
353,79,20,154,East,0
354,80,55,119,East,0
355,80,36,119,North,0
356,81,20,276,West,0
357,81,40,276,South,0
358,81,28,276,West,0
359,81,17,276,East,0
360,81,38,276,West,0
361,82,75,241,South,0
362,82,49,241,South,0
363,82,65,241,North,0
364,83,24,712,West,0
365,83,38,712,North,0
366,83,46,712,South,0
367,83,64,712,West,0
368,83,63,712,East,0
369,83,48,712,East,0
370,83,87,712,North,0
371,83,68,712,West,0
372,84,32,632,South,0
373,84,147,632,South,0
374,84,67,632,North,0
375,84,38,632,East,0
376,85,40,619,South,1
377,85,106,619,East,0
378,85,82,619,North,0
379,85,101,619,West,0
380,86,62,291,West,1
381,87,116,348,North,1
382,87,154,348,North,0
383,88,88,226,North,0
384,89,83,825,West,1
385,89,197,825,West,1
386,89,66,825,North,0
387,89,165,825,South,0
388,89,119,825,South,0
389,90,237,792,North,1
390,90,196,792,South,1
391,90,133,792,South,0
392,90,174,792,South,0
393,91,178,807,West,1
394,91,170,807,South,0
395,91,55,807,North,0
396,91,47,807,South,0
397,92,53,1018,North,0
398,92,18,1018,East,0
399,92,231,1018,North,0
400,92,215,1018,South,0
401,93,101,395,East,1
402,93,48,395,North,0
403,93,71,395,North,1
404,93,14,395,East,0
405,94,99,412,East,0
406,94,127,412,West,0
407,94,116,412,North,0
408,94,77,412,East,0
409,95,67,418,West,1
410,95,69,418,South,0
411,95,77,418,East,0
412,95,65,418,North,0
413,95,62,418,South,0
414,96,73,431,East,0
415,96,82,431,South,0
416,96,71,431,North,0
417,96,69,431,North,0
418,97,49,1173,East,0
419,97,202,1173,West,0
420,97,151,1173,South,0
421,97,149,1173,West,0
422,97,208,1173,East,0
423,97,23,1173,West,0
424,98,108,1539,North,1
425,98,122,1539,West,0
426,98,59,1539,South,0
427,98,74,1539,West,0
428,98,89,1539,West,0
429,98,30,1539,West,0
430,98,99,1539,West,0
431,98,28,1539,North,0
432,98,108,1539,West,0
433,99,129,741,South,1
434,99,168,741,North,0
435,99,107,741,West,0
436,99,50,741,North,0
437,100,44,729,South,0
438,100,216,729,West,0
439,100,66,729,East,0
440,100,8,729,East,0
441,101,155,879,North,0
442,101,105,879,East,0
443,101,146,879,North,0
444,101,105,879,East,0
445,101,55,879,West,0
446,101,143,879,West,0
447,102,130,692,West,0
448,102,91,692,West,0
449,102,159,692,West,0
450,102,15,692,North,0
451,103,57,1120,North,1
452,103,81,1120,East,1
453,103,103,1120,North,1
454,103,69,1120,North,1
455,103,127,1120,North,1
456,103,33,1120,East,0
457,103,32,1120,South,0
458,103,44,1120,West,0
459,104,46,93,North,1
460,104,28,93,West,0
461,105,93,927,North,1
462,105,74,927,South,1
463,105,114,927,North,0
464,105,118,927,East,0
465,105,58,927,East,0
466,105,26,927,South,0
467,105,29,927,East,0
468,106,33,397,North,1
469,106,63,397,East,1
470,106,15,397,South,0
471,106,16,397,North,0
472,106,27,397,South,0
473,106,20,397,East,0
474,106,19,397,West,0
475,107,68,652,West,1
476,107,7,652,North,1
477,107,41,652,North,1
478,107,63,652,East,1
479,107,48,652,East,0
480,107,24,652,South,0
481,107,46,652,West,0
482,107,69,652,South,0
483,107,19,652,South,0
484,107,77,652,West,0
